Tank,START_DATETIME,PRESSURE_DATUM,OIL_CUM,WATER_CUM,GAS_CUM,Bo,Bg,GOR,Bo,Bg,GOR
tank_north,2002-08-01,813.4809284363637,1463323.82,391319.44,1463323.82,1.1389674224276356,,89.0,1.1389674224276356,,89.0
tank_center,2002-09-01,2316.40494,2639177.8333,2148731.9033,2639177.8333,1.1273601286852009,,89.0,1.1273601286852009,,89.0
tank_south,2003-01-01,1921.7142685000003,2050788.0709,460187.5955,2050788.0709,1.1302084179016372,,89.0,1.1302084179016372,,89.0
tank_north,2003-08-01,766.3275449272728,1540674.78,473106.43,1540674.78,1.139354932705584,,89.0,1.139354932705584,,89.0
tank_center,2003-09-01,2033.7265516171767,3373888.4633,2404446.4033,3373888.4633,1.1293605531827018,,89.0,1.1293605531827018,,89.0
tank_south,2004-01-01,1731.1313118750004,2087940.0709,581609.5955,2087940.0709,1.1316702288202058,,89.0,1.1316702288202058,,89.0
tank_north,2004-08-01,719.1741614181819,1633149.79,562842.12,1633149.79,1.1397424429835326,,89.0,1.1397424429835326,,89.0
tank_center,2004-09-01,977.1166283000001,4002856.4633,2643658.4033,4002856.4633,1.1378865523250712,,89.0,1.1378865523250712,,89.0
tank_south,2005-01-01,1540.5483552500002,2089620.6309,581747.9155,2089620.6309,1.1331320397387747,,89.0,1.1331320397387747,,89.0
tank_north,2005-08-01,672.0207779090911,1699868.78,610092.8700000001,1699868.78,1.1407674115859183,,89.0,1.1407674115859183,,89.0
tank_center,2005-09-01,935.0613789500001,4428504.2333,2860230.5132999998,4428504.2333,1.1382081647978455,,89.0,1.1382081647978455,,89.0
tank_south,2006-01-01,1349.965398625,2089620.6309,581747.9155,2089620.6309,1.1347367519935905,,89.0,1.1347367519935905,,89.0
tank_north,2006-08-01,624.8673944000001,1766743.52,640363.3999999999,1766743.52,1.1404965034048822,,86.69864081842307,1.1404965034048822,,86.69864081842307
tank_center,2006-09-01,893.0061295999999,4796279.9832999995,3010660.5933,4796279.9832999995,1.1384926351951077,,89.0,1.1384926351951077,,89.0
tank_south,2007-01-01,1159.382442,2174433.4769,587882.8535,2174433.4769,1.1363638867660448,,89.0,1.1363638867660448,,89.0
tank_center,2007-09-01,876.3892286000001,5062588.9533,3146348.9633,5062588.9533,1.138591261155275,,89.0,1.138591261155275,,89.0
tank_south,2008-01-01,1308.5881375000001,2378065.9069,606727.4835000001,2378065.9069,1.1350900174773342,,89.0,1.1350900174773342,,89.0
tank_center,2008-09-01,884.6968582,5346233.5033,3294563.9633,5346233.5033,1.1385419530474628,,89.0,1.1385419530474628,,89.0
tank_south,2009-01-01,1457.793833,2435024.9269000003,634974.7235000001,2435024.9269000003,1.1338161481886233,,89.0,1.1338161481886233,,89.0
tank_center,2009-09-01,967.9333748412978,5627979.0433,3538906.9833,5627979.0433,1.1379567801539061,,89.0,1.1379567801539061,,89.0
tank_south,2010-01-01,1606.9995285,2484313.5768999998,661655.0734999999,2484313.5768999998,1.1326223454181032,,89.0,1.1326223454181032,,89.0
tank_center,2010-09-01,1051.1698914825956,5827098.9533,3688720.8333,5827098.9533,1.137287770028646,,89.0,1.137287770028646,,89.0
tank_south,2011-01-01,1756.2052239999998,2538147.5069000004,689934.9335,2538147.5069000004,1.1314779066988334,,89.0,1.1314779066988334,,89.0
tank_center,2011-09-01,1134.4064081238935,6105877.2633,3847804.1933,6105877.2633,1.13657712395114,,89.0,1.13657712395114,,89.0
tank_south,2012-01-01,1905.4109194999999,2591814.7169000003,740981.0035,2591814.7169000003,1.1303334679795638,,89.0,1.1303334679795638,,89.0
tank_center,2012-09-01,1127.971150159924,6453060.7633,4015030.1633,6453060.7633,1.1366320660728717,,89.0,1.1366320660728717,,89.0
tank_south,2013-01-01,2054.616615,2661225.4469,769721.1335,2661225.4469,1.129212720888962,,89.0,1.129212720888962,,89.0
tank_center,2013-09-01,1070.5677403999366,6768521.1333,4155770.6033,6768521.1333,1.137122157557084,,89.0,1.137122157557084,,89.0
tank_south,2014-01-01,1844.1822416666666,2734241.6769000003,794590.5235,2734241.6769000003,1.1308031046741105,,89.0,1.1308031046741105,,89.0
tank_center,2014-09-01,1013.1643306399494,6968836.4933,4319561.6133,6968836.4933,1.1376108818471506,,89.0,1.1376108818471506,,89.0
tank_south,2015-01-01,1633.7478683333334,2759441.432030765,802516.7241392925,2759441.432030765,1.1324171800879268,,89.0,1.1324171800879268,,89.0
tank_center,2015-09-01,955.760920879962,7050313.6033,4477471.2433,7050313.6033,1.138049867534881,,89.0,1.138049867534881,,89.0
tank_south,2016-01-01,1423.3134949999999,2759510.258856412,802527.3469535692,2759510.258856412,1.1341105300049164,,89.0,1.1341105300049164,,89.0
tank_center,2016-09-01,898.3575111199747,7081977.8233,4552355.3233,7081977.8233,1.1384608732474,,89.0,1.1384608732474,,89.0
tank_south,2017-01-01,1212.8791216666668,2759579.2742487052,802537.9988714467,2759579.2742487052,1.135907149661962,,89.0,1.135907149661962,,89.0
tank_center,2017-09-01,840.9541013599874,7102149.247208463,4601308.335477893,7102149.247208463,1.13880157855728,,89.0,1.13880157855728,,89.0
tank_south,2018-01-01,1002.4447483333333,2759648.1010743524,802548.6216857233,2759648.1010743524,1.1376928585664905,,89.0,1.1376928585664905,,89.0
tank_center,2018-09-01,783.5506916,7102239.477225734,4601354.703085838,7102239.477225734,1.1392133915083758,,89.0,1.1392133915083758,,89.0
tank_south,2019-01-01,792.0103750000001,2759716.9279,802559.2445,2759716.9279,1.13914386915342,,89.0,1.13914386915342,,89.0
tank_center,2019-09-01,1659.510180183357,7155018.8553,4676812.0693,7155018.8553,1.1322195777974762,,89.0,1.1322195777974762,,89.0
tank_south,2020-01-01,1079.9120977921139,2763944.4419,810384.6325000001,2763944.4419,1.137042378498619,,89.0,1.137042378498619,,89.0
